lin_accel_x,gyro_y,mag_z,lin_accel_y,lin_accel_z,mag_x,gyro_z,gyro_x,accel_x,mag_y,accel_y,accel_z,long,lat,time,heading
0.28,-0.03222222222222222,41.25,0.12,0.33,-59.0625,0.017777777777777778,0.05333333333333334,-0.57,-14.375,-2.27,9.52,False,False,377.543253035,-16.099057106622247
0.09,0.042222222222222223,41.25,-0.07,0.01,-59.0625,0.017777777777777778,-0.05666666666666665,-0.2,-14.0625,-2.09,9.86,False,False,377.604945285,-15.54867800894088
0.19,-0.06777777777777777,41.6875,0.02,0.25,-59.5,0.007777777777777778,0.06222222222222223,-0.36,-14.375,-2.2,9.56,False,False,377.662724241,-15.177725399043258
0.16,0.004444444444444445,41.25,0.03,0.19,-59.0625,-0.0033333333333333327,0.017777777777777778,-0.36,-14.75,-2.2,9.7,False,False,377.73225959300004,-14.854298943736794
0.08,-0.011111111111111113,42.0625,0.0,0.03,-58.6875,-0.0022222222222222227,-0.005555555555555557,-0.31,-14.0625,-2.08,9.75,False,False,377.79699820800005,-14.684817467102453
0.12,-0.03666666666666667,42.0625,-0.03,0.15,-59.0625,-0.005555555555555557,0.027777777777777776,-0.38,-14.375,-2.09,9.55,False,False,377.84860860000003,-14.624201906913578
0.07,-0.012222222222222223,42.5,0.05,0.01,-59.0625,0.008888888888888889,0.004444444444444445,-0.31,-14.0625,-2.14,9.75,False,False,377.892329277,-14.616861181467709
0.15,0.013333333333333334,42.5,-0.04,0.22,-58.6875,0.015555555555555557,-0.031111111111111114,-0.37,-14.75,-2.04,9.57,False,False,377.95698508,-14.513833388583071
0.15,0.07333333333333332,42.0625,-0.01,0.07,-58.375,0.02333333333333333,-0.07222222222222223,-0.29,-13.6875,-2.16,9.8,False,False,378.008391825,-13.886962119158914
0.15,-0.04,43.25,0.03,0.14,-59.0625,-0.006666666666666667,0.03,-0.32,-14.0625,-2.19,9.65,False,False,378.068088652,-12.068372554410885
0.0,-0.006666666666666667,42.75,-0.06,0.08,-59.0625,-0.03,0.03777777777777778,-0.35,-13.75,-2.12,9.65,False,False,378.12990803900004,-10.791363551575529
0.13,0.004444444444444445,42.0625,0.01,0.07,-59.875,0.005555555555555557,-0.016666666666666666,-0.38,-14.5,-2.15,9.7,False,False,378.21158442300003,-7.511547187041089
0.12,0.011111111111111113,41.6875,0.02,0.15,-58.375,0.007777777777777778,-0.016666666666666666,-0.33,-14.5,-2.08,9.63,-122.67542499999999,45.55033166666667,378.25782750400003,-5.766509113465052
0.17,0.014444444444444444,43.25,-0.13,-0.12,-59.5,0.01,-0.057777777777777775,-0.32,-13.75,-2.12,9.67,-122.67542499999999,45.55033166666667,378.38074299199997,3.3686090473936297
0.1,0.008888888888888889,42.75,0.02,0.2,-59.0625,-0.008888888888888889,-0.005555555555555557,-0.24,-13.75,-2.05,9.45,-122.67542499999999,45.55033166666667,378.443423788,6.687324908895288
0.07,0.031111111111111114,42.75,0.07,0.12,-59.0625,-0.034444444444444444,-0.008888888888888889,-0.33,-13.75,-2.07,9.74,-122.67542499999999,45.55033166666667,378.49528017,10.440743782046365
-0.06,-0.01,42.75,-0.07,0.12,-59.5,-0.02666666666666667,0.014444444444444444,-0.38,-14.5,-2.07,9.67,-122.67542499999999,45.55033166666667,378.548911975,13.874733573042075
0.18,-0.0022222222222222227,43.25,-0.01,0.16,-58.6875,0.02666666666666667,-0.0033333333333333327,-0.51,-14.5,-2.18,9.51,-122.67542499999999,45.55033166666667,378.604602642,17.236195714151606
0.11,-0.005555555555555557,42.0625,-0.04,0.13,-59.0625,0.031111111111111114,-0.012222222222222223,-0.27,-14.1875,-2.16,9.72,-122.67542499999999,45.55033166666667,378.669571935,21.73095115401636
0.06,-0.02666666666666667,41.6875,0.0,0.08,-58.6875,-0.005555555555555557,0.034444444444444444,-0.36,-13.75,-2.16,9.68,-122.67542499999999,45.55033166666667,378.73315752599996,25.908052732826633
0.14,-0.0022222222222222227,42.5,0.0,0.14,-58.6875,0.0,0.0,-0.4,-13.75,-2.13,9.64,-122.67542499999999,45.55033166666667,378.790080801,29.610964694966746
0.09,0.0033333333333333327,41.6875,0.01,0.09,-59.0625,-0.0022222222222222227,0.0,-0.29,-14.1875,-2.12,9.67,-122.67542499999999,45.55033166666667,378.843306302,33.05259016092994
0.04,0.0,43.25,0.0,0.05,-58.6875,0.0,0.0011111111111111113,-0.35,-13.75,-2.12,9.65,-122.67542499999999,45.55033166666667,378.900773694,36.691794445147835
0.07,-0.013333333333333334,43.25,0.0,0.1,-59.0625,0.02,-0.0011111111111111113,-0.37,-14.1875,-2.15,9.62,-122.67542499999999,45.55033166666667,378.957992387,40.18506988679129
0.15,0.0011111111111111113,43.25,0.0,0.14,-58.375,0.02333333333333333,-0.014444444444444444,-0.36,-13.75,-2.14,9.66,-122.67542499999999,45.55033166666667,379.006580372,43.16630114445049
0.13,0.004444444444444445,42.0625,0.03,0.1,-59.0625,-0.0011111111111111113,-0.0011111111111111113,-0.27,-14.1875,-2.13,9.7,-122.67542499999999,45.55033166666667,379.06849903,46.93246391004261
0.08,-0.006666666666666667,42.0625,-0.03,0.14,-58.6875,-0.02333333333333333,0.014444444444444444,-0.3,-14.1875,-2.1,9.66,-122.67542499999999,45.55033166666667,379.120267963,50.02305495341037
0.09,-0.04111111111111111,43.25,-0.02,0.06,-59.0625,-0.03222222222222222,0.06444444444444444,-0.34,-14.0625,-2.16,9.7,-122.67542499999999,45.55033166666667,379.30206485800005,60.02245058003212
0.1,-0.015555555555555557,42.5,0.0,0.12,-59.0625,0.006666666666666667,0.014444444444444444,-0.24,-14.75,-2.04,9.64,-122.67542499999999,45.55033166666667,379.368774678,63.730448846251086
0.05,0.016666666666666666,42.5,-0.04,0.1,-59.5,0.0022222222222222227,-0.016666666666666666,-0.21,-15.1875,-2.0,9.72,-122.67542499999999,45.55033166666667,379.41947741,66.49889368241386
0.05,0.0022222222222222227,42.0625,-0.02,0.12,-59.5,0.0011111111111111113,-0.0033333333333333327,-0.26,-14.75,-2.06,9.7,-122.67542499999999,45.55033166666667,379.48811489300004,70.12302869085727
0.06,0.013333333333333334,41.6875,0.0,0.08,-58.6875,0.005555555555555557,-0.016666666666666666,-0.25,-15.1875,-2.03,9.65,-122.67542499999999,45.55033166666667,379.539879972,72.7771720500026
0.08,0.0033333333333333327,42.5,-0.02,0.12,-59.5,0.005555555555555557,-0.014444444444444444,-0.25,-14.375,-2.02,9.67,-122.67542499999999,45.55033166666667,379.593446516,75.51778008842581
