mag_z,gyro_y,gyro_x,mag_y,gyro_z,mag_x,accel_y,accel_x,accel_z,time
82.875,0.0033333333333333335,0.0011111111111111111,-49.5625,0.0,-30.75,-2.69,2.64,9.14,2876.08022865
84.0625,-0.006666666666666667,0.0011111111111111111,-47.6875,0.0011111111111111111,-30.75,-2.69,2.64,9.11,2876.136106183
84.5,-0.0044444444444444444,0.0033333333333333335,-47.25,0.0011111111111111111,-30.375,-2.66,2.64,9.09,2876.172718083
84.5,0.0033333333333333335,-0.0022222222222222222,-47.25,0.0022222222222222222,-30.375,-2.68,2.64,9.11,2876.227602235
83.25,0.0,-0.0011111111111111111,-47.25,0.0,-30.375,-2.67,2.64,9.11,2876.288364952
82.5,0.0033333333333333335,0.0022222222222222222,-47.6875,0.0,-29.6875,-2.67,2.63,9.08,2876.328506053
82.5,0.0011111111111111111,-0.0022222222222222222,-47.6875,0.0,-29.6875,-2.66,2.64,9.12,2876.373778222
82.875,0.0022222222222222222,0.0,-48.5,0.0,-30.375,-2.67,2.62,9.12,2876.413273753
82.875,-0.0022222222222222222,-0.0011111111111111111,-47.75,0.0022222222222222222,-30.0625,-2.67,2.61,9.1,2876.473700899
83.6875,0.0033333333333333335,0.0,-47.375,0.0011111111111111111,-30.75,-2.68,2.63,9.11,2876.523617472
84.0625,0.0022222222222222222,-0.0022222222222222222,-46.6875,-0.0011111111111111111,-30.0625,-2.69,2.64,9.17,2876.578280375
82.875,-0.0022222222222222222,-0.0022222222222222222,-47.75,-0.0033333333333333335,-31.0625,-2.67,2.63,9.07,2876.620910682
83.25,0.0022222222222222222,-0.0033333333333333335,-47.75,0.0,-30.375,-2.68,2.63,9.17,2876.682545999
83.25,-0.0022222222222222222,0.0011111111111111111,-47.375,-0.0011111111111111111,-30.375,-2.69,2.65,9.12,2876.722281477
84.0625,-0.005555555555555556,-0.0011111111111111111,-47.75,0.0022222222222222222,-30.375,-2.68,2.63,9.11,2876.761661488
84.875,-0.0022222222222222222,0.0,-47.75,0.0,-30.375,-2.67,2.66,9.14,2876.807658706
84.5,0.0044444444444444444,0.0011111111111111111,-47.375,0.0,-30.75,-2.68,2.66,9.11,2876.860960574
82.5,0.0011111111111111111,0.0,-48.5,0.0,-30.0625,-2.65,2.62,9.13,2876.909165958
84.5,-0.0033333333333333335,0.0022222222222222222,-47.0,0.0033333333333333335,-30.75,-2.7,2.63,9.09,2876.975069013
84.0625,-0.008888888888888889,0.0033333333333333335,-47.375,0.0022222222222222222,-30.375,-2.67,2.65,9.11,2877.024657775
83.6875,0.005555555555555556,-0.0033333333333333335,-48.1875,-0.0022222222222222222,-31.0625,-2.66,2.65,9.13,2877.06935901
